id;key;name;title;releasedate;popularity_spot;popularity;winrate;banrate;averageKDA;pentas/match;blurb;attack;defense;magic;difficulty;role;rangetype;tags;partype;hp;hpperlevel;mp;mpperlevel;movespeed;armor;armorperlevel;spellblock;spellblockperlevel;attackrange;hpregen;hpregenperlevel;mpregen;mpregenperlevel;attackdamage;attackdamageperlevel;attackspeed;attackspeedperlevel;spell1_name;spell1_description;spell1_cost;spell1_cooldown;spell2_name;spell2_description;spell2_cost;spell2_cooldown;spell3_name;spell3_description;spell3_cost;spell3_cooldown;ulti_name;ulti_description;ulti_cost;ulti_cooldown
Aatrox;266;Aatrox;the Darkin Blade;13/6/2013;17;10.7%;49.5%;17.3%;6.1/6.1/5.3;0.0018;Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to findÖ;8;4;3;4;Top;Melee;Fighter,Tank;Blood Well;580;90;0;0;345;38;3.25;32.1;1.25;175;3;1;0;0;60;5;0.651;2.5;The Darkin Blade;Aatrox slams his greatsword down, dealing physical damage. He can swing three times, each with a different area of effect.;0/0/0/0/0;14/12/10/8/6;Infernal Chains;Aatrox smashes the ground, dealing damage to the first enemy hit. Champions and large monsters have to leave the impact area quickly or they will be dragged to the center and take the damage again.;0/0/0/0/0;26/23/20/17/14;Umbral Dash;Passively, Aatrox heals when damaging enemy champions. On activation, he dashes in a direction.;0/0/0/0/0;9/8/7/6/5;World Ender;Aatrox unleashes his demonic form, fearing nearby enemy minions and gaining attack damage, increased healing, and movement speed. If he gets a takedown, this effect is extended.;0/0/0;120/100/80
Ahri;103;Ahri;the Nine-Tailed Fox;14/12/2011;32;8.5%;51.0%;4.4%;6.2/5.3/7.6;0.0012;Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...;3;4;8;5;Middle;Ranged;Mage,Assassin;Mana;526;92;418;25;330;20.88;3.5;30;0.5;550;6.5;0.6;8;0.8;53.04;3;0.668;2;Orb of Deception;Ahri sends out and pulls back her orb, dealing magic damage on the way out and true damage on the way back. After earning several spell hits, Ahri's next orb hits will restore her health.;65/70/75/80/85;7/7/7/7/7;Fox-Fire;Ahri releases three fox-fires, that lock onto and attack nearby enemies.;40/40/40/40/40;9/8/7/6/5;Charm;Ahri blows a kiss that damages and charms an enemy it encounters, instantly stopping movement abilities and causing them to walk harmlessly towards her. The target temporarily takes increased damage from Ahri.;70/70/70/70/70;12/12/12/12/12;Spirit Rush;Ahri dashes forward and fires essence bolts, damaging nearby enemies. Spirit Rush can be cast up to three times before going on cooldown.;100/100/100;130/105/80
Akali;84;Akali;the Rogue Assassin;11/5/2010;46;7.2%;49.3%;9.3%;8.4/5.8/4.8;0.0015;Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...;5;3;8;7;Top,Middle;Melee;Assassin;Energy;575;95;200;0;345;23;3.5;37;1.25;125;8;0.5;50;0;62.4;3.3;0.625;3.2;Five Point Strike;Akali throws out five kunai, dealing damage based on her bonus Attack Damage and Ability Power and slowing.;120/115/110/105/100;1.5/1.5/1.5/1.5/1.5;Twilight Shroud;Akali drops a cover of smoke and briefly gains Movement Speed. While inside the shroud, Akali becomes invisible and unable to be selected by enemy spells and attacks. Attacking or using abilities will briefly reveal her.  ;0/0/0/0/0;20/20/20/20/20;Shuriken Flip;Flip backward and fire a shuriken forward, dealing physical damage. The first enemy or smoke cloud hit is marked. Re-cast to dash to the marked target, dealing additional damage.;30/30/30/30/30;16/14.5/13/11.5/10;Perfect Execution;Akali leaps in a direction, damaging enemies she strikes. Re-cast: Akali dashes in a direction, executing all enemies she strikes.;0/0/0;100/80/60
Akshan;166;Akshan;The Rogue Sentinel;22/7/2021;162;1.7%;48.6%;1.9%;8.5/6.5/5.5;0.0032;Raising an eyebrow in the face of danger, Akshan fights evil with dashing charisma, righteous vengeance, and a conspicuous lack of shirts. He is highly skilled in the art of stealth combat, able to evade the eyes of his enemies and reappear when theyÖ;;;;7;Middle;Ranged;Marksman,Assassin;Mana;630;107;350;40;330;26;4.7;30;1.3;500;3.75;0.65;8.2;0.7;52;3.0;0.638;4.0;Avengerang;Akshan throws a boomerang in the target direction that briefly grants Sight icon sight around its trajectory and deals physical damage to enemies hit, Reveal icon revealing them for 1 second and extending its range each time it hits a target. ;60/65/70/75/80;8/7.25/6.5/5.75/5;Going Rogue;Akshan marks enemy Champion icon champions that kill allied champions as Scoundrels for 60 seconds. If Akshan scores a Damage rating takedown against a Scoundrel while alive and within 3 seconds of damaging them, he receives an additional 100 Gold 100 and revives all Death dead allied champions that they have slain after 1 second.;40/30/20/10/0;18/14/10/6/2;Heroic Swing;Akshan fires a hook in the target direction that embeds in the first terrain hit, and enters preparation for up to 2.125 seconds.;70/70/70/70/70;18/16.5/15/13.5/12;Comeuppance;Akshan locks onto the target enemy champion and begins Channeling icon channeling for 2.5 seconds, True Sight icon revealing them as well as Sight icon revealing himself. He gradually stores bullets into his weapon over the duration.;100/100/100;100/85/70
Alistar;12;Alistar;the Minotaur;21/2/2009;77;5.0%;49.0%;2.0%;1.9/6.4/13.8;0.0000;Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...;6;9;5;7;Support;Melee;Tank,Support;Mana;600;106;350;40;330;44;3.5;32.1;1.25;125;8.5;0.85;8.5;0.8;62;3.75;0.625;2.125;Pulverize;Alistar smashes the ground, dealing damage to nearby enemies and tossing them into the air.;65/70/75/80/85;17/16/15/14/13;Headbutt;Alistar rams a target with his head, dealing damage and knocking the target back.;65/70/75/80/85;14/13/12/11/10;Trample;Alistar tramples nearby enemy units, ignoring unit collision and gaining stacks if he damages an enemy champion. At full stacks Alistar's next basic attack against an enemy champion deals additional magic damage and stuns them.;50/60/70/80/90;12/11.5/11/10.5/10;Unbreakable Will;Alistar lets out a wild roar, removing all crowd control effects on himself, and reducing incoming physical and magical damage for the duration.;100/100/100;120/100/80
Amumu;32;Amumu;the Sad Mummy;26/6/2009;24;9.4%;53.4%;13.5%;5.3/6.2/10.6;0.0002;Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...;2;6;8;3;Jungle,Support;Melee;Tank,Mage;Mana;613.12;84;287.2;40;335;33;3.8;32.1;1.25;125;9;0.85;7.382;0.525;53.38;3.8;0.736;2.18;Bandage Toss;Amumu tosses a sticky bandage at a target, stunning and damaging the target while he pulls himself to them.;50/55/60/65/70;10/9.5/9/8.5/8;Despair;Overcome by anguish, nearby enemies lose a percentage of their maximum Health each second and have their <font color='#9b0f5f'>Curses</font> refreshed.;8/8/8/8/8;1/1/1/1/1;Tantrum;Permanently reduces the physical damage Amumu would take. Amumu can unleash his rage, dealing damage to surrounding enemies. Each time Amumu is hit, the cooldown on Tantrum is reduced by 0.5 seconds.;35/35/35/35/35;10/9/8/7/6;Curse of the Sad Mummy;Amumu entangles surrounding enemy units in bandages, applying his <font color='#9b0f5f'>Curse</font>, damaging them and rendering them unable to attack or move.;100/150/200;150/125/100
Anivia;34;Anivia;the Cryophoenix;10/7/2009;148;2.5%;52.7%;1.8%;5.7/4.9/7.8;0.0003;Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...;1;4;10;10;Middle;Ranged;Mage,Support;Mana;480;82;495;25;325;21.22;4;30;0.5;600;5.5;0.55;8;0.8;51.376;3.2;0.625;1.68;Flash Frost;Anivia brings her wings together and summons a sphere of ice that flies towards her opponents, chilling and damaging anyone in its path. When the sphere explodes it does moderate damage in a radius, stunning anyone in the area.;80/90/100/110/120;10/9.5/9/8.5/8;Crystallize;Anivia condenses the moisture in the air into an impassable wall of ice to block all movement. The wall only lasts a short duration before it melts.;70/70/70/70/70;17/17/17/17/17;Frostbite;With a flap of her wings, Anivia blasts a freezing gust of wind at her target, dealing a low amount of damage. If the target was recently stunned by Flash Frost or damaged by a fully formed Glacial Storm, the damage they take is doubled.;50/60/70/80/90;4/4/4/4/4;Glacial Storm;Anivia summons a driving rain of ice and hail to damage her enemies and slow their advance.;75/75/75;6/6/2006
Annie;1;Annie;the Dark Child;21/2/2009;158;1.8%;51.0%;0.5%;6.2/6.3/8.4;0.0005;Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...;2;3;10;6;Middle;Ranged;Mage;Mana;524;88;418;25;335;19.22;4;30;0.5;625;5.5;0.55;8;0.8;50.41;2.625;0.579;1.36;Disintegrate;Annie hurls a Mana infused fireball, dealing damage and refunding the Mana cost if it destroys the target.;60/65/70/75/80;4/4/4/4/4;Incinerate;Annie casts a blazing cone of fire, dealing damage to all enemies in the area.;70/80/90/100/110;8/8/8/8/8;Molten Shield;Grants Annie increased percentage Damage Reduction, a burst of movement speed, and damages enemies who attack her with basic attacks.;20/20/20/20/20;14/13/12/11/10;Summon: Tibbers;Annie wills her bear Tibbers to life, dealing damage to units in the area. Tibbers can attack and also burns enemies that stand near him.;100/100/100;120/100/80
Aphelios;523;Aphelios;the Weapon of the Faithful;11/12/2019;107;4.0%;46.8%;0.8%;7.2/6.6/5.4;0.0048;Emerging from moonlight's shadow with weapons drawn, Aphelios kills the enemies of his faith in brooding silence‚Äîspeaking only through the certainty of his aim, and the firing of each gun. Though fueled by a poison that renders him mute, he is guided by...;6;2;1;10;Bottom;Ranged;Marksman;Mana;500;86;348;42;325;28;3;26;0.5;550;3.25;0.55;6.5;0.4;57;2.2;0.64;2.1;Weapon Abilites;Aphelios has 5 different activated abilities, based on his main-hand weapon:<br><br>Calibrum (Rifle): Long range shot that marks its target for a long-range follow-up attack.<br>Severum (Scythe Pistol): Run fast while attacking nearby enemies with both weapons.<br>Gravitum (Cannon): Root all enemies slowed by this weapon.<br>Infernum (Flamethrower): Blast enemies in a cone and attack them with your off-hand weapon.<br>Crescendum (Chakram): Deploy a sentry that shoots your off-hand weapon.<br>;60/60/60/60/60/60;9/9/9/9/9/9;Phase;Aphelios swaps his main-hand gun with his off-hand gun, replacing his basic attack and activated ability.;0/0/0/0/0/0;0.8/0.8/0.8/0.8/0.8/0.8;Weapon Queue System;Aphelios has no third ability. This slot shows the next weapon Alune will give him. Weapon order begins fixed but may change over game time -- when a weapon is out of ammo it goes to the end of the order.;0/0/0/0/0/0;0/0/0/0/0/0;Moonlight Vigil;Fire a concentrated blast of moonlight that explodes on enemy champions. Applies the unique effect of Aphelios' main-hand gun.;100/100/100;120/110/100
Ashe;22;Ashe;the Frost Archer;21/2/2009;16;10.8%;49.6%;4.5%;5.9/6.3/9.0;0.0007;Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...;7;3;2;4;Bottom,Support;Ranged;Marksman,Support;Mana;539;85;280;32;325;26;3.4;30;0.5;600;3.5;0.55;6.972;0.4;61;2.96;0.658;3.33;Ranger's Focus;Ashe builds up Focus by attacking. At maximum Focus, Ashe can cast Ranger's Focus to consume all stacks of Focus, temporarily increasing her Attack Speed and transforming her basic attack into a powerful flurry attack for the duration.;50/50/50/50/50;0/0/0/0/0;Volley;Ashe fires 9 arrows in a cone for increased damage. Also applies Frost Shot.;70/70/70/70/70;14/11.5/9/6.5/4;Hawkshot;Ashe sends her Hawk Spirit on a scouting mission anywhere on the map.;0/0/0/0/0;5/5/5/5/5;Enchanted Crystal Arrow;Ashe fires a missile of ice in a straight line. If the arrow collides with an enemy Champion, it deals damage and stuns the Champion, stunning for longer the farther arrow has traveled. In addition, surrounding enemy units take damage and are slowed.;100/100/100;100/90/80
